用語名,解説
クリスタル・フロンティア,"このカードゲームの名前。Crystal Frontier。略称：クリフロ。
プレイヤーはアダマスター（結晶師）となって、結晶に封印された英雄や魔物、魔法の力などを駆使して戦う。"
あなた,あなたのこと。
対戦相手,対戦相手のこと。あなた以外の、ゲームに参加しているプレイヤー。
プレイヤー,"ゲームに参加しているすべての人。あなたと対戦相手はどちらもプレイヤーである。
テキストで「プレイヤー」が示されている場合、それはあなたと対戦相手のどちらもが含まれる。"
チェイン,"すべてのカードや効果は、一部の例外を除きここにいったん移動し、解決を待つ。
ユニットは召喚を宣言、それ以外のカードは発動を宣言、能力は起動を宣言した時点で一旦チェインに移動し、すべてのプレイヤーが続けて優先権をパスしたとき、チェインの一番上のカードや効果は解決される。"
ライフ,それぞれのプレイヤーが持つ点数。初期ライフ１００００点からゲームを開始し、ライフが０点になったプレイヤーはゲームに敗北する。
色,"色とは、「赤」、「緑」「青」、「白」、「黒」の５色である。
このゲームにはその他の色は存在しない。
この５つの色には、それぞれが持つ雰囲気に応じたメカニズムが配分され（色の役割）、ゲーム性やフレーバーに深みを与える。
カードの色は、コアコストに含まれるコア・マークの色によって決まる。コア・マークを２色以上含む場合は、そのマークに含まれる色すべてを含む。"
多色,"色を２つ以上持つこと。
複数の色を持っているカードは『多色カード』として扱われる。
結晶ゾーンに置くと、複数の色のコアを使い分ける事ができる。
プレイが難しい分、スペックは単色よりも高めに設定されることが多い。
また、複数の色のコアを出せる代わりに、「結晶ゾーンに置く時には、疲労状態で置かなければならない」。"
コア,"コアは、通常は結晶ゾーンにある結晶を疲労させることで生み出すことができる。
ただし、結晶として置いた際にコア生成能力を持たないカードも一部存在する。（エクシード・カード。）
また、カードの効果や能力などによって生み出されることもある。
例：コアを生み出す効果は「(赤)をコア・プールに加える。」などと記述される。
生み出したコアはコア・プールに加えられ、コストを支払うために即座に使うことも、後で使うためにコア・プールに残したままにしておくこともできる。
使われなかったコアは通常、エンドフェイズのリフレッシュステップに失われる。
コアには、赤コア(赤)、緑コア(緑)、青コア(青)、白コア(白)、黒コア(黒)の各種色コアと、無色コア(◇)がある。
コアのタイプとは、その5色（白・青・黒・赤・緑）および無色の6種類のことをいう。
コア・プールに加えられたコアで、コアコストや、他のコア・シンボルで表されたコストを支払うことができる。
色がついたコア・マークは、色がついたコアのコストを表す。これはその色のコアによってのみ支払うことができる。
(1)、(2)、(3)などの数字や(X)のコア・マークは、不特定コアコストを表す。
これらはどの色のコアで支払っても構わない。
たとえば、コストが「(2)(赤)(緑)」と表記されていたら、好きなタイプのコア２点と、赤コア１点と、緑コア１点とで支払えることを示している。"
コア・プール,"効果によってコアが生み出されたとき、コアはそのプレイヤーのコア・プールに入る。そこから、カードや能力のコスト支払いのために使うことができる。
コアは即座に使うことも、また後で使うためにコア・プールに蓄えておくこともできる。使われなかったリフレッシュ・ステップに失われる。"
